en,pl,comment_en,comment_pl
birthday,urodziny,,
day,dzień,,
week,tydzień,,
month,miesiąc,,
year,rok,,
doll,lalka,,
scooter,hulajnoga,,
car,samochód,,
ball,piłka,,
insect,owad,,
bee,pszczoła,,
butterfly,motyl,,
beetle,żuk,,
wasp,osa,,
cricket,świerszcz,,
stick insect,patyczak,,
wild,dziki,,
giraffe,żyrafa,,
panther,pantera,,
cheetah,gepard,,
kangaroo,kangur,,
lizard,jaszczurka,,
canary,kanarek,,
rat,szczur,,
guinea pig,świnka morska,,
farm,gospodarstwo,,
bull,byk,,
goose,gęś,,
cucumber,ogórek,,
carrot,marchew,,
beans,fasola,,
potato,ziemniak,,
onion,cebula,,
broccoli,brokuł,,
spinach,szpinak,,
pepper,pieprz,,
pear,gruszka,,
apricot,morela,,
peach,brzoskwinia,,
raspberry,malina,,
blueberry,jagoda,,
strawberry,truskawka,,
watermelon,arbuz,,
storm,burza,,
wind,wiatr,,
rain,deszcz,,
wardrobe,szafa,,
cupboard,szafka,,
cushion,poduszka,,
fridge,lodówka,,
juggle,żonglować,,
climb,wspinać się,,
cook,gotować,,
wear,nosić,,
listen,słuchać,,
read,czytać,,
write,pisać,,
draw,rysować,,
stand,stać,,
fly,latać,,
kite,latawiec,,
talk,rozmawiać,,
walk,chodzić,,
never,nigdy,,
rarely,rzadko,,
sometimes,czasami,,
often,często,,
usually,zwykle,,
always,zawsze,,
picture,zdjęcie,,
weather,pogoda,,
seasons,pory roku,,
clothes,ubrania,,
hamster,chomik,,
ruler,linijka,,
know,wiedzieć,,
nurse,pielęgniarka,,
great,wielki,,
too,też,,
bad,zły,,
good,dobry,,
grasshopper,konik polny,,
donkey,osioł,,
hot,gorąco,,
cold,zimno,,
plum,śliwka,,
asparagus,szparagi,,
son,syn,,
daughter,córka,,
woman,kobieta,,
well,dobrze,,
floor,podłoga,,
ceiling,sufit,,
blanket,koc,,
evening,wieczór,,
morning,poranek,,
noon,południe,,
midnight,północ,,
drink,pić,,
eat,jeść,,
person,osoba,,
trousers,spodnie,,
skirt,spódniczka,,
shirt,koszula,,
between,pomiędzy,,
vest,kamizelka,,
yesterday,wczoraj,,
tomorrow,jutro,,
maybe,może,,
mountains,góry,,
river,rzeka,,
astronaut,astronauta,,
phone,telefon,,
short,krótki,,
long,długi,,
curly,kręcone,,
straight,prosty,,
size,rozmiar,,
shape,kształt,,
fair,jasne,,
dark,ciemny,,
vegetable,warzywo,,
wall,ściana,,
angel,anioł,,
angle,kąt,,
earth,ziemia,,
light,jasny,,
wise,mądry,,
country,kraj,,
far,daleko,,
close,blisko,,
later,później,,
but,ale,,
whiskers,wąsy,,
spoon,łyżka,,
knife,nóż,,
fork,widelec,,
foot,stopa,,
raccoon,szop pracz,,
today,dzisiaj,,
use,używać,,
before,przed,,
take,wziąć,,
lemon,cytryna,,
mushroom,grzyb,,
cauliflower,kalafior,,
have,mieć,,
kind,rodzaj,,
carol,kolęda,,
previous,poprzedni,,
next,następny,,
bridge,most,,
remember,pamiętać,,
rectangle,prostokąt,,
square,kwadrat,,
circle,kółko,,
triangle,trójkąt,,
first,pierwszy,,
second,drugi,,
third,trzeci,,
taste,smak,,
mug,kubek,,
garlic,czosnek,,
cup,filiżanka,,
beak,dziób,,
corridor,korytarz,,
duty,obowiązek,,
envelope,koperta,,
fashion,moda,,
hill,wzgórze,,
iron,żelazko,,
jewel,klejnot,,
kidney,nerka,,
lace,sznurówka,,
needle,igła,,
